Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,days_since,Population,Confirmed / Million Inhabitants,Deaths / Million Inhabitants,Recovered / Million Inhabitants
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,0,1438207241.0,0.0,0.0,0.0
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,0,1438207241.0,0.0,0.0,0.0
Hebei,China,39.549,116.1306,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Henan,China,33.882,113.61399999999999,2020-01-22,5,0,0,0,1438207241.0,0.0,0.0,0.0
Hong Kong,China,22.3,114.2,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,0,1438207241.0,0.0,0.0,0.0
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,0,1438207241.0,0.0,0.0,0.0
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,0,1438207241.0,0.0,0.0,0.0
Jilin,China,43.6661,126.1923,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0,0,1438207241.0,0.0,0.0,0.0
Macau,China,22.1667,113.55,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,0,1438207241.0,0.0,0.0,0.0
Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,0,0,1438207241.0,0.0,0.0,0.0
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,0,1438207241.0,0.0,0.0,0.0
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0,0,1438207241.0,0.0,0.0,0.0
Tibet,China,31.6927,88.0924,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Yunnan,China,24.974,101.48700000000001,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,0,1438207241.0,0.0,0.0,0.0
NA_Colombia,Colombia,4.5709,-74.2973,2020-01-22,0,0,0,0,50771878.0,0.0,0.0,0.0
NA_Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,2020-01-22,0,0,0,0,89561403.0,0.0,0.0,0.0
NA_Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,0,0,0,5518087.0,0.0,0.0,0.0
NA_Costa Rica,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0,0,5084636.0,0.0,0.0,0.0
NA_Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,0,0,26378274.0,0.0,0.0,0.0
NA_Croatia,Croatia,45.1,15.2,2020-01-22,0,0,0,0,4110214.0,0.0,0.0,0.0
NA_Cuba,Cuba,22.0,-80.0,2020-01-22,0,0,0,0,11327988.0,0.0,0.0,0.0
NA_Cyprus,Cyprus,35.1264,33.4299,2020-01-22,0,0,0,0,1205577.0,0.0,0.0,0.0
NA_Czechia,Czechia,49.8175,15.472999999999999,2020-01-22,0,0,0,0,10708981.0,0.0,0.0,0.0
Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0,0,0,0,5788108.0,0.0,0.0,0.0
Greenland,Denmark,71.7069,-42.6043,2020-01-22,0,0,0,0,5788108.0,0.0,0.0,0.0
NA_Denmark,Denmark,56.2639,9.5018,2020-01-22,0,0,0,0,5788108.0,0.0,0.0,0.0
NA_Djibouti,Djibouti,11.8251,42.5903,2020-01-22,0,0,0,0,985027.0,0.0,0.0,0.0
NA_Dominican Republic,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0,0,10825682.0,0.0,0.0,0.0
NA_Ecuador,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0,0,17587526.0,0.0,0.0,0.0
NA_Egypt,Egypt,26.0,30.0,2020-01-22,0,0,0,0,101930276.0,0.0,0.0,0.0
NA_El Salvador,El Salvador,13.7942,-88.8965,2020-01-22,0,0,0,0,6479609.0,0.0,0.0,0.0
NA_Equatorial Guinea,Equatorial Guinea,1.5,10.0,2020-01-22,0,0,0,0,1392950.0,0.0,0.0,0.0
NA_Eritrea,Eritrea,15.1794,39.7823,2020-01-22,0,0,0,0,3536285.0,0.0,0.0,0.0
NA_Estonia,Estonia,58.5953,25.0136,2020-01-22,0,0,0,0,1326357.0,0.0,0.0,0.0
